,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Japanese,"2,891",±578,0.1%,±0.1,"1,377",±311,0.2%,±0.1,"10,253","±1,368",0.1%,±0.1,"1,153",±245,0.0%,±0.1,"260,003","±5,784",0.7%,±0.1,"10,602",±965,0.2%,±0.1,"3,497",±710,0.1%,±0.1,811,±281,0.1%,±0.1,942,±250,0.1%,±0.1,"15,580","±1,402",0.1%,±0.1,"9,429","±1,073",0.1%,±0.1,"173,351","±3,778",11.9%,±0.3,"2,533",±404,0.1%,±0.1,"17,174","±1,487",0.1%,±0.1,"6,023",±879,0.1%,±0.1,"1,223",±250,0.0%,±0.1,"2,147",±454,0.1%,±0.1,"3,284",±565,0.1%,±0.1,"1,859",±441,0.0%,±0.1,583,±162,0.0%,±0.1,"6,847",±906,0.1%,±0.1,"9,794",±854,0.1%,±0.1,"13,377","±1,274",0.1%,±0.1,"4,233",±601,0.1%,±0.1,870,±296,0.0%,±0.1,"3,069",±452,0.0%,±0.1,861,±253,0.1%,±0.1,"1,872",±398,0.1%,±0.1,"12,395","±1,142",0.4%,±0.1,820,±215,0.1%,±0.1,"13,423","±1,116",0.1%,±0.1,"1,743",±402,0.1%,±0.1,"35,787","±1,823",0.2%,±0.1,"7,573",±884,0.1%,±0.1,466,±168,0.1%,±0.1,"10,486","±1,129",0.1%,±0.1,"2,161",±386,0.1%,±0.1,"13,044","±1,110",0.3%,±0.1,"5,664",±642,0.0%,±0.1,825,±282,0.1%,±0.1,"2,823",±585,0.1%,±0.1,465,±160,0.1%,±0.1,"4,898",±684,0.1%,±0.1,"24,870","±1,809",0.1%,±0.1,"5,678",±741,0.2%,±0.1,382,±137,0.1%,±0.1,"11,055","±1,038",0.1%,±0.1,"36,248","±1,695",0.5%,±0.1,747,±259,0.0%,±0.1,"2,780",±514,0.0%,±0.1,441,±175,0.1%,±0.1,15,±24,0.0%,±0.1
Korean,"12,815","±1,027",0.3%,±0.1,"4,731",±724,0.6%,±0.1,"14,872","±1,324",0.2%,±0.1,"2,631",±612,0.1%,±0.1,"471,071","±7,941",1.2%,±0.1,"20,396","±1,341",0.4%,±0.1,"10,294","±1,161",0.3%,±0.1,"2,213",±472,0.2%,±0.1,"3,548",±568,0.5%,±0.1,"26,215","±2,131",0.1%,±0.1,"60,124","±3,384",0.6%,±0.1,"25,632","±2,007",1.8%,±0.1,"1,561",±300,0.1%,±0.1,"58,909","±2,636",0.5%,±0.1,"10,583",±946,0.2%,±0.1,"6,593",±790,0.2%,±0.1,"5,274",±696,0.2%,±0.1,"5,031",±642,0.1%,±0.1,"2,991",±551,0.1%,±0.1,"1,108",±271,0.1%,±0.1,"47,867","±2,742",0.8%,±0.1,"24,953","±1,660",0.4%,±0.1,"27,532","±1,586",0.3%,±0.1,"15,003","±1,082",0.3%,±0.1,"1,228",±348,0.0%,±0.1,"9,340",±971,0.2%,±0.1,784,±222,0.1%,±0.1,"3,086",±489,0.2%,±0.1,"14,084","±1,283",0.5%,±0.1,"2,596",±506,0.2%,±0.1,"98,046","±3,904",1.1%,±0.1,"2,559",±522,0.1%,±0.1,"120,360","±4,087",0.6%,±0.1,"22,382","±1,587",0.2%,±0.1,"1,274",±439,0.2%,±0.1,"15,451","±1,372",0.1%,±0.1,"5,630",±606,0.1%,±0.1,"16,751","±1,419",0.4%,±0.1,"37,797","±2,088",0.3%,±0.1,"1,803",±421,0.2%,±0.1,"5,776",±994,0.1%,±0.1,"1,095",±301,0.1%,±0.1,"9,921",±894,0.1%,±0.1,"80,664","±3,956",0.3%,±0.1,"5,654",±858,0.2%,±0.1,997,±316,0.2%,±0.1,"74,569","±2,804",0.9%,±0.1,"66,682","±2,994",0.9%,±0.1,975,±254,0.1%,±0.1,"7,917",±756,0.1%,±0.1,486,±189,0.1%,±0.1,159,±102,0.0%,±0.1
Vietnamese,"10,609","±1,220",0.2%,±0.1,861,±294,0.1%,±0.1,"27,068","±2,134",0.4%,±0.1,"6,239",±987,0.2%,±0.1,"671,401","±10,418",1.7%,±0.1,"27,114","±1,776",0.5%,±0.1,"10,162","±1,168",0.3%,±0.1,"2,135",±603,0.2%,±0.1,"2,649",±663,0.4%,±0.1,"85,179","±4,202",0.4%,±0.1,"61,474","±3,521",0.6%,±0.1,"11,741","±1,763",0.8%,±0.1,"1,998",±587,0.1%,±0.1,"31,821","±2,506",0.2%,±0.1,"9,411","±1,221",0.1%,±0.1,"10,538","±1,394",0.3%,±0.1,"15,419","±1,344",0.5%,±0.1,"5,137",±825,0.1%,±0.1,"30,544","±1,896",0.7%,±0.1,"1,431",±449,0.1%,±0.1,"25,874","±2,246",0.4%,±0.1,"52,841","±3,300",0.8%,±0.1,"19,060","±1,695",0.2%,±0.1,"26,223","±1,853",0.5%,±0.1,"7,971","±1,063",0.3%,±0.1,"15,838","±1,683",0.3%,±0.1,653,±265,0.1%,±0.1,"7,682","±1,038",0.4%,±0.1,"13,938","±1,563",0.5%,±0.1,"3,133",±586,0.2%,±0.1,"21,626","±1,791",0.2%,±0.1,"5,242",±942,0.2%,±0.1,"30,679","±2,076",0.2%,±0.1,"34,725","±2,641",0.3%,±0.1,798,±397,0.1%,±0.1,"15,966","±1,452",0.1%,±0.1,"20,475","±1,498",0.5%,±0.1,"31,997","±2,078",0.8%,±0.1,"40,997","±2,155",0.3%,±0.1,"1,581",±351,0.1%,±0.1,"10,906","±1,328",0.2%,±0.1,675,±282,0.1%,±0.1,"12,522","±1,404",0.2%,±0.1,"279,424","±8,155",1.0%,±0.1,"9,381","±1,363",0.3%,±0.1,510,±196,0.1%,±0.1,"61,152","±3,213",0.7%,±0.1,"80,038","±3,369",1.1%,±0.1,"1,390",±384,0.1%,±0.1,"6,325",±843,0.1%,±0.1,312,±224,0.1%,±0.1,78,±75,0.0%,±0.1
Other Asian,"9,755","±1,233",0.2%,±0.1,"10,624","±1,401",1.4%,±0.2,"30,919","±2,086",0.4%,±0.1,"14,023","±1,218",0.5%,±0.1,"750,612","±10,628",1.9%,±0.1,"40,756","±2,301",0.7%,±0.1,"27,728","±1,911",0.8%,±0.1,"4,362",±934,0.4%,±0.1,"3,468",±587,0.5%,±0.1,"81,530","±3,590",0.4%,±0.1,"68,004","±3,788",0.6%,±0.1,"60,934","±2,244",4.2%,±0.2,"5,906","±1,021",0.3%,±0.1,"101,513","±4,095",0.8%,±0.1,"43,319","±2,860",0.6%,±0.1,"27,274","±1,736",0.9%,±0.1,"24,432","±1,546",0.8%,±0.1,"19,299","±1,644",0.4%,±0.1,"12,839","±1,255",0.3%,±0.1,"3,318",±608,0.2%,±0.1,"75,960","±4,009",1.2%,±0.1,"79,094","±3,226",1.1%,±0.1,"61,645","±2,969",0.6%,±0.1,"147,863","±3,471",2.6%,±0.1,"3,302",±585,0.1%,±0.1,"19,384","±1,567",0.3%,±0.1,"1,251",±419,0.1%,±0.1,"16,888","±1,620",0.9%,±0.1,"26,052","±2,148",0.9%,±0.1,"8,452","±1,213",0.6%,±0.1,"82,282","±3,340",0.9%,±0.1,"4,547",±826,0.2%,±0.1,"317,617","±8,397",1.6%,±0.1,"63,146","±2,974",0.6%,±0.1,"4,005",±858,0.5%,±0.1,"55,361","±3,625",0.5%,±0.1,"24,705","±1,482",0.6%,±0.1,"32,287","±2,082",0.8%,±0.1,"84,177","±3,485",0.6%,±0.1,"12,349","±1,225",1.1%,±0.1,"12,346","±1,033",0.2%,±0.1,"4,417",±759,0.5%,±0.1,"28,241","±2,148",0.4%,±0.1,"254,105","±7,632",0.9%,±0.1,"19,877","±1,916",0.6%,±0.1,"3,227",±743,0.5%,±0.1,"121,900","±4,290",1.4%,±0.1,"98,867","±4,701",1.3%,±0.1,"2,211",±483,0.1%,±0.1,"78,639","±2,443",1.3%,±0.1,683,±255,0.1%,±0.1,336,±177,0.0%,±0.1
Native Hawaiian and Other Pacific Islander,"1,702",±377,0.0%,±0.1,"10,766",±428,1.5%,±0.1,"13,979",±705,0.2%,±0.1,"10,627",±594,0.4%,±0.1,"148,278","±2,645",0.4%,±0.1,"8,192",±695,0.1%,±0.1,"1,262",±356,0.0%,±0.1,383,±121,0.0%,±0.1,359,±82,0.1%,±0.1,"13,065",±979,0.1%,±0.1,"6,894","±1,173",0.1%,±0.1,"153,485","±2,261",10.6%,±0.2,"3,016",±556,0.2%,±0.1,"5,111",±677,0.0%,±0.1,"2,276",±286,0.0%,±0.1,"4,182",±339,0.1%,±0.1,"2,196",±395,0.1%,±0.1,"3,961",±599,0.1%,±0.1,"2,172",±611,0.0%,±0.1,228,±80,0.0%,±0.1,"2,928",±527,0.0%,±0.1,"2,406",±465,0.0%,±0.1,"2,915",±315,0.0%,±0.1,"2,338",±453,0.0%,±0.1,"1,129",±420,0.0%,±0.1,"8,468",±634,0.1%,±0.1,581,±123,0.1%,±0.1,"1,175",±273,0.1%,±0.1,"21,810",±913,0.7%,±0.1,513,±220,0.0%,±0.1,"3,303",±608,0.0%,±0.1,"1,705",±402,0.1%,±0.1,"9,131","±1,126",0.0%,±0.1,"7,119",±680,0.1%,±0.1,"1,194",±514,0.2%,±0.1,"3,899",±498,0.0%,±0.1,"6,760",±424,0.2%,±0.1,"17,272",±773,0.4%,±0.1,"4,426",±541,0.0%,±0.1,689,±231,0.1%,±0.1,"4,545",±965,0.1%,±0.1,753,±343,0.1%,±0.1,"4,312",±926,0.1%,±0.1,"24,608","±1,468",0.1%,±0.1,"29,086","±1,300",0.9%,±0.1,165,±87,0.0%,±0.1,"5,313",±576,0.1%,±0.1,"50,902","±1,551",0.7%,±0.1,683,±275,0.0%,±0.1,"2,862",±713,0.0%,±0.1,433,±167,0.1%,±0.1,245,±223,0.0%,±0.1
Native Hawaiian,854,±302,0.0%,±0.1,"1,325",±497,0.2%,±0.1,"4,402",±659,0.1%,±0.1,477,±199,0.0%,±0.1,"23,863","±1,889",0.1%,±0.1,"2,573",±506,0.0%,±0.1,359,±228,0.0%,±0.1,65,±55,0.0%,±0.1,175,±96,0.0%,±0.1,"2,976",±681,0.0%,±0.1,"1,900",±558,0.0%,±0.1,"93,745","±3,376",6.4%,±0.2,"1,198",±430,0.1%,±0.1,"2,160",±457,0.0%,±0.1,740,±222,0.0%,±0.1,484,±225,0.0%,±0.1,296,±119,0.0%,±0.1,856,±266,0.0%,±0.1,651,±331,0.0%,±0.1,51,±30,0.0%,±0.1,870,±379,0.0%,±0.1,994,±311,0.0%,±0.1,819,±190,0.0%,±0.1,641,±224,0.0%,±0.1,187,±115,0.0%,±0.1,"1,682",±333,0.0%,±0.1,178,±73,0.0%,±0.1,387,±125,0.0%,±0.1,"8,596",±993,0.3%,±0.1,168,±75,0.0%,±0.1,722,±221,0.0%,±0.1,785,±317,0.0%,±0.1,"3,217",±791,0.0%,±0.1,"2,244",±474,0.0%,±0.1,479,±380,0.1%,±0.1,"1,114",±234,0.0%,±0.1,"1,240",±278,0.0%,±0.1,"3,943",±604,0.1%,±0.1,"1,582",±393,0.0%,±0.1,104,±168,0.0%,±0.1,"1,482",±605,0.0%,±0.1,130,±81,0.0%,±0.1,"1,447",±518,0.0%,±0.1,"5,683",±914,0.0%,±0.1,"1,976",±449,0.1%,±0.1,89,±64,0.0%,±0.1,"1,441",±367,0.0%,±0.1,"7,316",±817,0.1%,±0.1,255,±153,0.0%,±0.1,568,±187,0.0%,±0.1,214,±108,0.0%,±0.1,23,±36,0.0%,±0.1
Chamorro,374,±189,0.0%,±0.1,454,±249,0.1%,±0.1,"2,767",±635,0.0%,±0.1,113,±96,0.0%,±0.1,"21,545","±1,839",0.1%,±0.1,"2,032",±403,0.0%,±0.1,190,±122,0.0%,±0.1,71,±69,0.0%,±0.1,54,±48,0.0%,±0.1,"2,834",±626,0.0%,±0.1,"2,240",±743,0.0%,±0.1,"2,828",±749,0.2%,±0.1,570,±316,0.0%,±0.1,587,±203,0.0%,±0.1,335,±154,0.0%,±0.1,400,±228,0.0%,±0.1,336,±189,0.0%,±0.1,"1,146",±444,0.0%,±0.1,603,±412,0.0%,±0.1,85,±58,0.0%,±0.1,762,±249,0.0%,±0.1,550,±216,0.0%,±0.1,464,±168,0.0%,±0.1,314,±117,0.0%,±0.1,302,±229,0.0%,±0.1,884,±387,0.0%,±0.1,23,±28,0.0%,±0.1,472,±224,0.0%,±0.1,"3,621",±750,0.1%,±0.1,222,±156,0.0%,±0.1,813,±387,0.0%,±0.1,338,±187,0.0%,±0.1,"1,180",±329,0.0%,±0.1,"1,981",±393,0.0%,±0.1,148,±103,0.0%,±0.1,450,±180,0.0%,±0.1,466,±177,0.0%,±0.1,"1,801",±409,0.0%,±0.1,720,±231,0.0%,±0.1,387,±236,0.0%,±0.1,892,±248,0.0%,±0.1,200,±143,0.0%,±0.1,795,±327,0.0%,±0.1,"7,085",±958,0.0%,±0.1,873,±373,0.0%,±0.1,0,±23,0.0%,±0.1,"1,803",±371,0.0%,±0.1,"10,639","±1,181",0.1%,±0.1,24,±26,0.0%,±0.1,471,±206,0.0%,±0.1,104,±68,0.0%,±0.1,0,±35,0.0%,±0.1
Samoan,113,±94,0.0%,±0.1,"6,721",±843,0.9%,±0.1,"1,609",±467,0.0%,±0.1,599,±433,0.0%,±0.1,"35,980","±2,372",0.1%,±0.1,"1,096",±394,0.0%,±0.1,270,±198,0.0%,±0.1,86,±85,0.0%,±0.1,12,±20,0.0%,±0.1,"1,413",±416,0.0%,±0.1,669,±276,0.0%,±0.1,"13,982","±1,822",1.0%,±0.1,245,±120,0.0%,±0.1,817,±300,0.0%,±0.1,231,±77,0.0%,±0.1,191,±175,0.0%,±0.1,341,±162,0.0%,±0.1,346,±174,0.0%,±0.1,391,±350,0.0%,±0.1,45,±34,0.0%,±0.1,336,±151,0.0%,±0.1,298,±165,0.0%,±0.1,509,±165,0.0%,±0.1,335,±137,0.0%,±0.1,132,±94,0.0%,±0.1,"2,524",±342,0.0%,±0.1,126,±72,0.0%,±0.1,76,±45,0.0%,±0.1,"4,331",±810,0.1%,±0.1,77,±120,0.0%,±0.1,430,±179,0.0%,±0.1,189,±72,0.0%,±0.1,925,±292,0.0%,±0.1,863,±269,0.0%,±0.1,134,±120,0.0%,±0.1,601,±238,0.0%,±0.1,410,±164,0.0%,±0.1,"1,816",±629,0.0%,±0.1,386,±147,0.0%,±0.1,37,±42,0.0%,±0.1,197,±113,0.0%,±0.1,45,±50,0.0%,±0.1,700,±262,0.0%,±0.1,"4,016",±695,0.0%,±0.1,"8,808","±1,309",0.3%,±0.1,6,±8,0.0%,±0.1,884,±299,0.0%,±0.1,"15,767","±1,466",0.2%,±0.1,68,±59,0.0%,±0.1,394,±261,0.0%,±0.1,3,±6,0.0%,±0.1,30,±48,0.0%,±0.1
Other Pacific Islander,361,±109,0.0%,±0.1,"2,266",±684,0.3%,±0.1,"5,201",±790,0.1%,±0.1,"9,438",±644,0.3%,±0.1,"66,890","±2,962",0.2%,±0.1,"2,491",±531,0.0%,±0.1,443,±218,0.0%,±0.1,161,±55,0.0%,±0.1,118,±57,0.0%,±0.1,"5,842",±861,0.0%,±0.1,"2,085",±773,0.0%,±0.1,"42,930","±2,871",3.0%,±0.2,"1,003",±299,0.1%,±0.1,"1,547",±394,0.0%,±0.1,970,±196,0.0%,±0.1,"3,107",±438,0.1%,±0.1,"1,223",±349,0.0%,±0.1,"1,613",±394,0.0%,±0.1,527,±220,0.0%,±0.1,47,±42,0.0%,±0.1,960,±322,0.0%,±0.1,564,±188,0.0%,±0.1,"1,123",±295,0.0%,±0.1,"1,048",±363,0.0%,±0.1,508,±274,0.0%,±0.1,"3,378",±443,0.1%,±0.1,254,±101,0.0%,±0.1,240,±92,0.0%,±0.1,"5,262",±977,0.2%,±0.1,46,±35,0.0%,±0.1,"1,338",±451,0.0%,±0.1,393,±218,0.0%,±0.1,"3,809",±809,0.0%,±0.1,"2,031",±380,0.0%,±0.1,433,±272,0.1%,±0.1,"1,734",±376,0.0%,±0.1,"4,644",±362,0.1%,±0.1,"9,712",±840,0.2%,±0.1,"1,738",±366,0.0%,±0.1,161,±119,0.0%,±0.1,"1,974",±666,0.0%,±0.1,378,±288,0.0%,±0.1,"1,370",±510,0.0%,±0.1,"7,824",±815,0.0%,±0.1,"17,429","±1,409",0.5%,±0.1,70,±62,0.0%,±0.1,"1,185",±319,0.0%,±0.1,"17,180","±1,720",0.2%,±0.1,336,±232,0.0%,±0.1,"1,429",±628,0.0%,±0.1,112,±100,0.0%,±0.1,192,±212,0.0%,±0.1
Some other race,"86,013","±3,910",1.7%,±0.1,"14,254","±1,533",1.9%,±0.2,"490,290","±10,666",6.9%,±0.2,"87,626","±3,478",2.9%,±0.1,"6,036,865","±34,850",15.3%,±0.1,"258,867","±6,935",4.5%,±0.1,"215,605","±6,884",6.0%,±0.2,"28,095","±2,185",2.9%,±0.2,"32,484","±2,297",4.8%,±0.3,"866,158","±15,527",4.1%,±0.1,"334,875","±9,173",3.2%,±0.1,"23,633","±1,898",1.6%,±0.1,"77,835","±3,698",4.3%,±0.2,"795,980","±12,806",6.2%,±0.1,"167,683","±4,920",2.5%,±0.1,"46,711","±2,501",1.5%,±0.1,"88,787","±3,434",3.0%,±0.1,"51,365","±3,012",1.1%,±0.1,"79,627","±3,923",1.7%,±0.1,"6,800",±927,0.5%,±0.1,"326,831","±6,970",5.3%,±0.1,"318,785","±7,436",4.6%,±0.1,"142,181","±4,795",1.4%,±0.1,"120,011","±4,352",2.1%,±0.1,"38,053","±2,426",1.3%,±0.1,"84,084","±3,316",1.4%,±0.1,"10,155","±1,126",0.9%,±0.1,"60,041","±2,900",3.1%,±0.1,"345,215","±7,187",11.3%,±0.2,"11,258","±1,389",0.8%,±0.1,"675,022","±11,059",7.3%,±0.1,"204,742","±5,482",9.7%,±0.3,"1,808,007","±19,547",9.0%,±0.1,"372,381","±8,761",3.6%,±0.1,"10,002","±1,014",1.3%,±0.1,"141,320","±4,263",1.2%,±0.1,"118,507","±3,620",3.0%,±0.1,"158,743","±5,201",3.8%,±0.1,"350,618","±7,773",2.7%,±0.1,"66,575","±4,071",6.1%,±0.4,"109,896","±4,242",2.2%,±0.1,"8,714",±930,1.0%,±0.1,"123,978","±4,151",1.8%,±0.1,"2,019,394","±21,195",7.0%,±0.1,"168,048","±5,279",5.2%,±0.2,"3,123",±399,0.5%,±0.1,"265,361","±8,225",3.1%,±0.1,"378,956","±8,477",5.0%,±0.1,"9,562","±1,153",0.5%,±0.1,"130,363","±5,140",2.2%,±0.1,"13,317","±1,274",2.3%,±0.2,"714,904","±11,374",21.6%,±0.3
Two or more races,"155,315","±4,493",3.1%,±0.1,"73,946","±2,800",10.0%,±0.4,"735,021","±11,378",10.4%,±0.2,"159,103","±4,959",5.3%,±0.2,"4,235,217","±31,554",10.7%,±0.1,"478,070","±8,049",8.4%,±0.1,"227,267","±5,513",6.3%,±0.2,"49,512","±2,358",5.0%,±0.2,"38,857","±2,141",5.7%,±0.3,"2,001,725","±24,237",9.4%,±0.1,"514,903","±9,398",4.8%,±0.1,"355,014","±5,337",24.4%,±0.4,"103,310","±3,507",5.7%,±0.2,"749,100","±11,335",5.8%,±0.1,"287,953","±6,794",4.3%,±0.1,"123,765","±3,572",3.9%,±0.1,"179,456","±4,825",6.1%,±0.2,"158,878","±3,819",3.5%,±0.1,"177,641","±5,068",3.8%,±0.1,"46,901","±2,172",3.5%,±0.2,"331,775","±7,191",5.4%,±0.1,"451,680","±7,956",6.5%,±0.1,"463,369","±8,008",4.6%,±0.1,"258,882","±4,931",4.6%,±0.1,"69,989","±2,938",2.4%,±0.1,"279,528","±6,149",4.6%,±0.1,"48,359","±1,992",4.5%,±0.2,"100,214","±3,426",5.1%,±0.2,"315,256","±7,097",10.3%,±0.2,"50,890","±2,237",3.7%,±0.2,"617,270","±9,635",6.7%,±0.1,"261,464","±7,215",12.4%,±0.3,"1,200,713","±14,299",6.0%,±0.1,"500,458","±8,915",4.8%,±0.1,"29,799","±1,837",3.9%,±0.2,"502,392","±7,690",4.3%,±0.1,"393,387","±5,271",10.0%,±0.1,"325,612","±6,068",7.7%,±0.1,"555,201","±8,166",4.3%,±0.1,"71,968","±3,382",6.6%,±0.3,"201,774","±5,717",4.0%,±0.1,"38,519","±1,887",4.4%,±0.2,"261,593","±5,383",3.8%,±0.1,"3,152,085","±24,923",10.9%,±0.1,"182,358","±5,119",5.6%,±0.2,"21,622","±1,147",3.4%,±0.2,"503,340","±8,236",5.9%,±0.1,"655,594","±8,153",8.6%,±0.1,"55,463","±1,968",3.1%,±0.1,"259,477","±4,988",4.4%,±0.1,"28,437","±1,760",4.9%,±0.3,"561,153","±9,702",16.9%,±0.3
White and Black or African American,"39,236","±2,431",0.8%,±0.1,"6,997",±734,1.0%,±0.1,"71,036","±3,676",1.0%,±0.1,"26,533","±1,740",0.9%,±0.1,"307,416","±7,762",0.8%,±0.1,"51,239","±2,706",0.9%,±0.1,"47,610","±2,570",1.3%,±0.1,"16,131","±1,597",1.6%,±0.2,"8,239","±1,097",1.2%,±0.2,"244,135","±7,568",1.1%,±0.1,"121,105","±5,280",1.1%,±0.1,"6,859","±1,000",0.5%,±0.1,"8,130",±843,0.4%,±0.1,"117,431","±4,466",0.9%,±0.1,"92,316","±3,817",1.4%,±0.1,"34,765","±1,692",1.1%,±0.1,"41,231","±2,210",1.4%,±0.1,"57,680","±2,297",1.3%,±0.1,"48,555","±3,016",1.0%,±0.1,"6,986",±623,0.5%,±0.1,"82,091","±3,419",1.3%,±0.1,"86,974","±3,653",1.2%,±0.1,"128,477","±4,847",1.3%,±0.1,"67,329","±2,891",1.2%,±0.1,"22,673","±1,828",0.8%,±0.1,"71,079","±2,950",1.2%,±0.1,"4,013",±447,0.4%,±0.1,"21,160","±1,691",1.1%,±0.1,"37,378","±2,575",1.2%,±0.1,"8,819",±907,0.6%,±0.1,"89,782","±3,652",1.0%,±0.1,"12,769","±1,246",0.6%,±0.1,"208,380","±6,462",1.0%,±0.1,"125,941","±4,902",1.2%,±0.1,"4,577",±654,0.6%,±0.1,"193,796","±4,989",1.6%,±0.1,"47,619","±2,102",1.2%,±0.1,"36,616","±1,968",0.9%,±0.1,"164,463","±4,800",1.3%,±0.1,"12,076","±1,617",1.1%,±0.1,"61,546","±3,439",1.2%,±0.1,"4,993",±714,0.6%,±0.1,"74,136","±2,895",1.1%,±0.1,"247,333","±8,866",0.9%,±0.1,"15,417","±1,244",0.5%,±0.1,"3,450",±370,0.5%,±0.1,"124,242","±3,929",1.4%,±0.1,"93,950","±3,668",1.2%,±0.1,"18,631","±1,057",1.0%,±0.1,"59,547","±2,427",1.0%,±0.1,"3,635",±744,0.6%,±0.1,"117,229","±4,318",3.5%,±0.1
White and American Indian and Alaska Native,"34,892","±1,212",0.7%,±0.1,"31,419","±1,773",4.3%,±0.2,"70,844","±3,156",1.0%,±0.1,"39,530","±1,385",1.3%,±0.1,"291,815","±5,148",0.7%,±0.1,"58,286","±2,388",1.0%,±0.1,"13,318",±740,0.4%,±0.1,"3,566",±279,0.4%,±0.1,"1,404",±249,0.2%,±0.1,"89,438","±1,931",0.4%,±0.1,"46,819","±1,948",0.4%,±0.1,"8,506",±632,0.6%,±0.1,"19,401","±1,029",1.1%,±0.1,"47,878","±1,764",0.4%,±0.1,"35,534",±952,0.5%,±0.1,"15,028",±735,0.5%,±0.1,"33,594",±969,1.1%,±0.1,"22,832",±811,0.5%,±0.1,"25,342","±1,062",0.5%,±0.1,"13,726",±718,1.0%,±0.1,"21,223",±923,0.3%,±0.1,"21,718",±939,0.3%,±0.1,"72,236","±1,514",0.7%,±0.1,"44,363","±1,201",0.8%,±0.1,"10,463",±938,0.4%,±0.1,"51,315","±1,317",0.8%,±0.1,"19,766","±1,293",1.8%,±0.1,"12,953",±676,0.7%,±0.1,"20,666","±1,094",0.7%,±0.1,"7,956",±328,0.6%,±0.1,"19,932","±1,203",0.2%,±0.1,"23,284","±1,904",1.1%,±0.1,"58,494","±1,937",0.3%,±0.1,"57,370","±1,632",0.6%,±0.1,"11,900","±1,023",1.5%,±0.1,"55,763",±982,0.5%,±0.1,"200,897","±2,841",5.1%,±0.1,"71,225","±2,137",1.7%,±0.1,"39,423","±1,056",0.3%,±0.1,"4,811",±527,0.4%,±0.1,"24,657","±1,083",0.5%,±0.1,"15,417","±1,125",1.7%,±0.1,"40,920","±1,057",0.6%,±0.1,"168,796","±3,203",0.6%,±0.1,"20,001","±1,184",0.6%,±0.1,"5,624",±236,0.9%,±0.1,"37,228","±1,440",0.4%,±0.1,"101,356","±2,208",1.3%,±0.1,"11,211",±496,0.6%,±0.1,"39,401","±1,317",0.7%,±0.1,"6,567",±630,1.1%,±0.1,591,±219,0.0%,±0.1
White and Asian,"16,138","±1,405",0.3%,±0.1,"10,054",±947,1.4%,±0.1,"64,049","±2,748",0.9%,±0.1,"10,595","±1,033",0.4%,±0.1,"626,493","±9,913",1.6%,±0.1,"55,997","±1,908",1.0%,±0.1,"23,948","±1,594",0.7%,±0.1,"4,420",±642,0.5%,±0.1,"6,874",±655,1.0%,±0.1,"112,808","±3,842",0.5%,±0.1,"51,986","±2,434",0.5%,±0.1,"77,776","±2,770",5.4%,±0.2,"15,188","±1,210",0.8%,±0.1,"90,306","±3,408",0.7%,±0.1,"29,416","±1,908",0.4%,±0.1,"15,834","±1,185",0.5%,±0.1,"17,521","±1,436",0.6%,±0.1,"16,086","±1,152",0.4%,±0.1,"15,310","±1,358",0.3%,±0.1,"7,562",±809,0.6%,±0.1,"54,090","±2,457",0.9%,±0.1,"59,660","±2,430",0.9%,±0.1,"62,592","±2,226",0.6%,±0.1,"43,081","±2,042",0.8%,±0.1,"7,369",±913,0.2%,±0.1,"32,089","±1,751",0.5%,±0.1,"5,711",±518,0.5%,±0.1,"11,402",±800,0.6%,±0.1,"42,940","±2,234",1.4%,±0.1,"10,281",±954,0.7%,±0.1,"64,967","±2,607",0.7%,±0.1,"10,987","±1,080",0.5%,±0.1,"138,184","±4,551",0.7%,±0.1,"49,411","±2,208",0.5%,±0.1,"3,511",±481,0.5%,±0.1,"59,132","±2,724",0.5%,±0.1,"20,036","±1,203",0.5%,±0.1,"56,177","±1,937",1.3%,±0.1,"66,968","±3,061",0.5%,±0.1,"6,744",±849,0.6%,±0.1,"21,125","±1,424",0.4%,±0.1,"3,158",±496,0.4%,±0.1,"27,486","±1,824",0.4%,±0.1,"162,898","±5,374",0.6%,±0.1,"31,412","±1,646",1.0%,±0.1,"4,292",±731,0.7%,±0.1,"90,607","±3,036",1.1%,±0.1,"146,511","±4,632",1.9%,±0.1,"4,916",±541,0.3%,±0.1,"33,686","±1,713",0.6%,±0.1,"3,283",±547,0.6%,±0.1,718,±287,0.0%,±0.1
